Platform,Course,anon_screen_name,Week,Effort (sec)
OpenEdX,Engineering/CS101/Summer2014,b90543e9c0a11ee045a3ca1b9454af0ee144e98f,3,1
OpenEdX,Engineering/CS101/Summer2014,9c3af46af16a1283b0de7569e0bf8c592f374d98,1,1
OpenEdX,Engineering/CS101/Summer2014,9c3af46af16a1283b0de7569e0bf8c592f374d98,7,31
OpenEdX,Engineering/CS101/Summer2014,027bd4e4f36042743ba2a9eebfc5c7f100894e39,2,1
OpenEdX,Engineering/CS101/Summer2014,60cadd28afdb595712000e43b57c6df19f2976bc,5,1
OpenEdX,Engineering/CS101/Summer2014,f9f8a299d78ea3e9d75da38678f52ec9dda8b975,1,184
OpenEdX,Engineering/CS101/Summer2014,f9f8a299d78ea3e9d75da38678f52ec9dda8b975,3,12429
OpenEdX,Engineering/CS101/Summer2014,f9f8a299d78ea3e9d75da38678f52ec9dda8b975,4,24409
OpenEdX,Engineering/CS101/Summer2014,f9f8a299d78ea3e9d75da38678f52ec9dda8b975,5,859
OpenEdX,Engineering/CS101/Summer2014,f9f8a299d78ea3e9d75da38678f52ec9dda8b975,6,1
OpenEdX,Engineering/CS101/Summer2014,a8f14f7e745fb7b2f9f0d23260ebabe4f99dd87f,1,1
OpenEdX,Engineering/CS101/Summer2014,a8f14f7e745fb7b2f9f0d23260ebabe4f99dd87f,3,1
OpenEdX,Engineering/CS101/Summer2014,4a0f71d8469e8ee114cda612053548f32ebab994,5,1
OpenEdX,Engineering/CS101/Summer2014,ed4a48462fd77bcb7f680714f0a2097feccf7afb,4,1
OpenEdX,Engineering/CS101/Summer2014,ed4a48462fd77bcb7f680714f0a2097feccf7afb,6,1
OpenEdX,Engineering/CS101/Summer2014,3b4a241c422b5818894195aa74ff4e29db9c125c,4,932
OpenEdX,Engineering/CS101/Summer2014,3b4a241c422b5818894195aa74ff4e29db9c125c,5,1032
OpenEdX,Engineering/CS101/Summer2014,ae193bc0bad58dfffcaebeae2bf8608c3ad552c7,5,1
OpenEdX,Engineering/CS101/Summer2014,0eaf245239fe165e9a8c538360c70eacb8bf7c20,4,557
OpenEdX,Engineering/CS101/Summer2014,1df3cb6dea809aab100190f2bbc3c28a2dd0c705,2,1
OpenEdX,Engineering/CS101/Summer2014,1df3cb6dea809aab100190f2bbc3c28a2dd0c705,3,1
OpenEdX,Engineering/CS101/Summer2014,63d1b0ba41f54818907a066e7db973635cdf6654,1,2
OpenEdX,Engineering/CS101/Summer2014,63d1b0ba41f54818907a066e7db973635cdf6654,3,75
OpenEdX,Engineering/CS101/Summer2014,63d1b0ba41f54818907a066e7db973635cdf6654,4,1
OpenEdX,Engineering/CS101/Summer2014,656f900a0ad6de4a479271bb1080191cb7957925,1,1
OpenEdX,Engineering/CS101/Summer2014,16d211ef6f1fdeae13681c5d6c60b5f5cde23d14,1,1
OpenEdX,Engineering/CS101/Summer2014,19e19ece9fb59cb76e51e91ad18da53e1c0c89e9,2,1
OpenEdX,Engineering/CS101/Summer2014,19e19ece9fb59cb76e51e91ad18da53e1c0c89e9,3,1
OpenEdX,Engineering/CS101/Summer2014,19e19ece9fb59cb76e51e91ad18da53e1c0c89e9,5,3
OpenEdX,Engineering/CS101/Summer2014,f30d922adb83504bb958b56a29904ee12a06c74c,1,1
OpenEdX,Engineering/CS101/Summer2014,a391961513274791c8d72e4bef038e2126f5089c,1,162
OpenEdX,Engineering/CS101/Summer2014,e79677bbe48bd7a9b6a2b4202d788543b74ae642,5,1
OpenEdX,Engineering/CS101/Summer2014,244856c89379327b8ad77d06ce94cd389769a356,4,1
OpenEdX,Engineering/CS101/Summer2014,51ce533bfb04eab7968a6cf6c63b93b2af368a5c,6,1
OpenEdX,Engineering/CS101/Summer2014,7ee07749df6103e48ad13632c8940746065a131b,1,603
OpenEdX,Engineering/CS101/Summer2014,7ee07749df6103e48ad13632c8940746065a131b,4,137
OpenEdX,Engineering/CS101/Summer2014,7ee07749df6103e48ad13632c8940746065a131b,5,835
OpenEdX,Engineering/CS101/Summer2014,44a8b2148739d565ba57333532dc192d590684ea,4,1738
OpenEdX,Engineering/CS101/Summer2014,44a8b2148739d565ba57333532dc192d590684ea,5,1126
OpenEdX,Engineering/CS101/Summer2014,44a8b2148739d565ba57333532dc192d590684ea,6,1
OpenEdX,Engineering/CS101/Summer2014,44a8b2148739d565ba57333532dc192d590684ea,7,2
OpenEdX,Engineering/CS101/Summer2014,305ab2b3687d2a80b1bd60bde8412bfee1bd55ad,4,1
OpenEdX,Engineering/CS101/Summer2014,0991ca5f95d902bc7f5c24be6d73c97fbedf642f,7,1
OpenEdX,Engineering/CS101/Summer2014,a949da6c16eb3a008d638169753ea514cde165a3,2,1
OpenEdX,Engineering/CS101/Summer2014,9bec02cbf72189c14ea7153b2d5b7daf19ef4993,1,1
OpenEdX,Engineering/CS101/Summer2014,9bec02cbf72189c14ea7153b2d5b7daf19ef4993,7,29
OpenEdX,Engineering/CS101/Summer2014,17e770152886cb2b80fe10c0900e212542dc4c31,2,1
OpenEdX,Engineering/CS101/Summer2014,713605332b80dcab157c0b227ed324effdf01c9c,6,1
OpenEdX,Engineering/CS101/Summer2014,0404c810ff68198c2751de9916ce10cc9680d42f,6,1
OpenEdX,Engineering/CS101/Summer2014,6e4be44ae88d07dc74343143872c8f443b2e8419,3,1
OpenEdX,Engineering/CS101/Summer2014,e118d0b52df850ec1b923ef22c07c15a428cc277,2,752
OpenEdX,Engineering/CS101/Summer2014,ac790504161363ad43ce60b5ef2621b62959f81e,3,618
OpenEdX,Engineering/CS101/Summer2014,ac790504161363ad43ce60b5ef2621b62959f81e,4,742
OpenEdX,Engineering/CS101/Summer2014,ac790504161363ad43ce60b5ef2621b62959f81e,6,1
OpenEdX,Engineering/CS101/Summer2014,92e1337d0aea7789b96d21cd5b5569950097bbda,2,2
OpenEdX,Engineering/CS101/Summer2014,65cad25333c2c309ead8e1a0803af29ae5b32107,2,1
OpenEdX,Engineering/CS101/Summer2014,65cad25333c2c309ead8e1a0803af29ae5b32107,3,2
OpenEdX,Engineering/CS101/Summer2014,c33d67d865190891b864b7ea7914de6ed4197068,7,1
OpenEdX,Engineering/CS101/Summer2014,1b0906600f99fab89e49158905dc04f012e05a39,1,308
OpenEdX,Engineering/CS101/Summer2014,58149441927020dc40fb61037c7e02cdb2aff4a8,5,1
OpenEdX,Engineering/CS101/Summer2014,53c155f57015c68014b285cc9c67cca4726eff0b,6,1
OpenEdX,Engineering/CS101/Summer2014,a86efcbc6a54aa08b73727b065dd22c4d6e58a1d,3,1
OpenEdX,Engineering/CS101/Summer2014,7bf0002cf909d37cf223bc9eaf181b3ee0834580,5,1
OpenEdX,Engineering/CS101/Summer2014,448dc7260496ea6a8479e37774932be81bf93b36,1,1
OpenEdX,Engineering/CS101/Summer2014,9934b5ce46ab722a1c63bff4a7c220ec766d5830,7,813
OpenEdX,Engineering/CS101/Summer2014,d02778f1baefa38eed3384defc3987b90c2994c8,2,1
OpenEdX,Engineering/CS101/Summer2014,5172994f3faf549cbdf16efce0d29567abdee8f8,1,1
